"Edad","Area_Academica","Hrs de Sueño","Ingreso_Mensual","Tiempo_Traslado_Min","Transporte","Trabajo","Número de comidas","Hrs de estudio","Hrs en Redes","Materias inscritas","Promedio","Nivel de estres","Metodo de estudio","Nivel de interes","Area de interes","Categoria_Predominante","Transp_a_pie","Transp_por_app","Transp_publico","Transp_propio"
"23","Exactas e Ingenierías","6","8480","7.5","A pie","1","2","3","2","4","8","5","1","4","Probabilidad y estadística","Exactas y Métodos","1","0","0","0"
"22","Sociales y Humanidades","6","25440","52.5","Transporte público (Autobús, Metro, etc.)","1","1","3","1","7","9","3","1","5","Derecho","Sociales y Humanidades","0","0","1","0"
"21","Económico-Administrativas","5","16960","52.5","Transporte público (Autobús, Metro, etc.)","0","3","5","4","7","9.2","5","0","3","Finanzas","Económico-Administrativa","0","0","1","0"
"21","Salud y Naturales","7","16960","30","Transporte público (Autobús, Metro, etc.)","0","2","3","4","7","8","5","1","5","Salud","Salud y Biológicas","0","0","1","0"
"21","Educación","7","16960","7.5","A pie","0","4","2","2","5","9.6","5","0","5","Psicología","Sociales y Humanidades","1","0","0","0"
"19","Educación","8","16960","30","Transporte público (Autobús, Metro, etc.)","0","3","2","2","5","9","3","1","4","Psicología","Sociales y Humanidades","0","0","1","0"
"22","Económico-Administrativas","5","42400","30","Vehículo propio (Automóvil/Motocicleta)","1","2","2","3","6","9","4","1","4","Finanzas","Económico-Administrativa","0","0","0","1"
"19","Exactas e Ingenierías","7","8480","105","Transporte público (Autobús, Metro, etc.)","0","4","2","1","5","8","4","1","5","Matemáticas","Exactas y Métodos","0","0","1","0"
"22","Exactas e Ingenierías","6","8480","75","Transporte público (Autobús, Metro, etc.)","1","2","0","2","7","8","4","0","1","Matemáticas","Otras/Multidisciplinar","0","0","1","0"
"21","Salud y Naturales","5","8480","7.5","Transporte público (Autobús, Metro, etc.)","0","3","4","1","7","7","4","1","4","Salud","Salud y Biológicas","0","0","1","0"
"20","Educación","6","16960","7.5","A pie","0","3","0","5","5","9","3","1","5","Matemáticas","Sociales y Humanidades","1","0","0","0"
"20","Educación","8","8480","52.5","Transporte público (Autobús, Metro, etc.)","0","3","2","5","5","9.6","3","0","5","Matemáticas","Otras/Multidisciplinar","0","0","1","0"
"21","Salud y Naturales","6","8480","52.5","Transporte público (Autobús, Metro, etc.)","1","3","1","1","4","9","3","0","4","Salud","Otras/Multidisciplinar","0","0","1","0"
"18","Educación","8","8480","135","Vehículo propio (Automóvil/Motocicleta)","0","4","2","3","6","9","3","1","5","Artes","Diseño y Artes","0","0","0","1"
"19","Educación","6","8480","75","Transporte público (Autobús, Metro, etc.)","0","2","3","1","9","8","5","0","4","Salud","Económico-Administrativa","0","0","1","0"
"18","Salud y Naturales","5","16960","7.5","A pie","0","2","3","2","9","9.4","4","0","4","Salud","Salud y Biológicas","1","0","0","0"
"21","Exactas e Ingenierías","5","16960","75","Transporte público (Autobús, Metro, etc.)","0","3","1","1","4","7.8","4","1","3","Finanzas","Exactas y Métodos","0","0","1","0"
